,road_1,road_2,road_3,road_4,road_5,road_6,road_7,road_8,road_9,road_10,road_11,road_12,road_13,road_14,road_15,road_16,road_17,road_18
2022-07-22 04:14:00,12,8,134,41,149,107,172,16,16,46,64,28,31,87,119,125,40,53
2022-07-22 04:15:00,15,9,151,60,166,103,159,16,73,41,37,42,40,71,58,30,33,48
2022-07-22 04:16:00,9,16,137,44,149,92,155,22,32,24,40,88,57,151,94,63,78,46
2022-07-22 04:17:00,5,13,122,50,159,101,169,15,24,52,66,51,67,33,66,97,24,52
2022-07-22 04:18:00,7,21,132,43,157,107,171,61,25,65,86,74,59,135,45,41,31,65
2022-07-22 04:19:00,12,6,151,56,151,99,148,56,17,32,45,79,111,85,62,47,96,79
2022-07-22 04:20:00,23,9,131,38,139,95,168,72,37,39,42,38,129,82,103,33,35,41
2022-07-22 04:21:00,11,7,128,49,161,103,139,52,24,39,50,65,63,71,41,52,66,33
2022-07-22 04:22:00,11,14,155,54,144,116,171,70,28,121,76,74,108,16,35,29,100,71
2022-07-22 04:23:00,11,7,151,69,169,113,168,57,65,53,60,51,71,19,91,47,40,71
2022-07-22 04:24:00,6,6,152,54,175,103,177,68,61,76,123,85,61,16,53,36,70,25
2022-07-22 04:25:00,6,12,156,65,151,104,152,70,50,60,104,33,86,29,26,73,25,39
2022-07-22 04:26:00,14,7,137,45,156,111,174,59,73,41,86,89,67,36,79,91,35,25
2022-07-22 04:27:00,10,9,155,54,165,111,162,56,34,112,129,40,42,42,40,23,41,54
2022-07-22 04:28:00,9,9,175,60,162,109,173,59,59,30,41,49,66,141,64,64,24,69
2022-07-22 04:29:00,10,13,133,49,164,112,148,57,13,21,28,51,51,41,121,17,20,91
2022-07-22 04:30:00,15,12,163,64,153,106,152,33,21,20,13,69,50,54,42,14,19,49
2022-07-22 04:31:00,25,21,153,45,144,92,163,66,66,30,22,30,103,106,42,27,20,107
2022-07-22 04:32:00,18,14,134,48,144,113,183,56,44,88,70,28,118,48,70,45,39,24
2022-07-22 04:33:00,20,22,157,69,182,120,162,39,21,36,45,26,53,71,32,50,44,26
2022-07-22 04:34:00,22,11,180,56,166,96,158,43,50,48,74,48,78,66,73,62,31,15
2022-07-22 04:35:00,17,11,152,38,150,114,164,58,24,105,106,44,77,50,178,91,30,24
2022-07-22 04:36:00,14,24,151,41,167,115,177,42,26,33,36,140,33,33,85,31,41,51
2022-07-22 04:37:00,21,12,150,56,178,121,142,54,15,37,35,48,28,49,126,31,76,28
2022-07-22 04:38:00,28,20,164,56,155,94,133,48,24,46,18,50,25,46,52,57,34,42
